country,NEET_Rate
Austria,9.202222222222222
Belgium,11.933333333333334
Bosnia and Herzegovina,23.677777777777777
Bulgaria,20.47111111111111
Croatia,17.153333333333332
Cyprus,15.884444444444444
Czechia,11.484444444444444
Denmark,8.686666666666666
Estonia,12.648888888888889
Finland,10.097777777777777
France,12.179365079365079
Germany,10.02
Greece,20.495555555555555
Hungary,13.264444444444443
Iceland,6.502222222222223
Ireland,15.344444444444445
Italy,22.96222222222222
Latvia,14.346666666666668
Lithuania,12.673333333333332
Luxembourg,7.208888888888889
Malta,10.219999999999999
Montenegro,23.123333333333335
Netherlands,6.413333333333334
North Macedonia,30.630555555555556
Norway,7.702222222222223
Poland,13.613333333333333
Portugal,12.011111111111111
Romania,22.386666666666667
Serbia,23.29285714285714
Slovakia,15.54
Slovenia,8.697777777777777
Spain,17.773333333333333
Sweden,6.937777777777778
Switzerland,7.3583333333333325
Türkiye,29.953333333333337
