Year,NEET_Rate
2003,10.6
2004,10.799999999999999
2005,10.9
2006,10.933333333333332
2007,10.6
2008,10.433333333333334
2009,14.941414141414143
2010,15.66952380952381
2011,15.87962962962963
2012,16.29722222222222
2013,16.416666666666668
2014,15.875
2015,15.31574074074074
2016,14.562962962962963
2017,13.713888888888889
2018,13.062037037037037
2019,12.575
2020,13.802777777777779
2021,12.883333333333333
2022,11.628431372549018
2023,11.234285714285713
