Country,Year,Sex,NEET_Rate,Education_Expenditure
EL,2017,Males,18.8,48.7
EL,2018,Females,20.6,48.9
EL,2018,Males,17.8,48.9
EL,2019,Females,18.0,48.1
EL,2019,Males,16.9,48.1
EL,2020,Females,18.5,60.2
EL,2020,Males,18.5,60.2
EL,2021,Females,17.9,57.7
EL,2021,Males,16.5,57.7
EL,2022,Females,16.5,52.9
EL,2022,Males,14.1,52.9
ES,2015,Females,19.7,44.0
ES,2015,Males,19.2,44.0
ES,2016,Females,18.7,42.5
ES,2016,Males,17.4,42.5
ES,2017,Females,17.1,41.3
ES,2017,Males,15.7,41.3
ES,2018,Females,16.0,41.8
ES,2018,Males,14.7,41.8
ES,2019,Females,15.4,42.3
ES,2019,Males,14.4,42.3
ES,2020,Females,17.3,51.9
ES,2020,Males,17.3,51.9
ES,2021,Females,13.9,50.0
ES,2021,Males,14.6,50.0
ES,2022,Females,13.3,47.4
ES,2022,Males,12.2,47.4
FI,2015,Females,12.4,56.5
FI,2015,Males,11.2,56.5
FI,2016,Females,11.6,55.6
FI,2016,Males,10.7,55.6
FI,2017,Females,11.0,53.6
FI,2017,Males,9.9,53.6
FI,2018,Females,10.6,53.4
FI,2018,Males,8.6,53.4
FI,2019,Females,9.9,53.3
FI,2019,Males,8.3,53.3
FI,2020,Females,9.9,57.2
FI,2020,Males,9.6,57.2
FI,2021,Females,8.7,55.8
FI,2021,Males,9.7,55.8
FI,2022,Females,8.6,53.3
FI,2022,Males,10.0,53.3
FR,2015,Females,14.5,56.8
FR,2015,Males,13.4,56.8
FR,2016,Females,14.3,56.7
FR,2016,Males,12.9,56.7
FR,2017,Females,13.6,56.5
FR,2017,Males,12.7,56.5
FR,2018,Females,13.2,55.6
FR,2018,Males,12.6,55.6
FR,2019,Females,12.6,55.4
FR,2019,Males,12.1,55.4
FR,2020,Females,13.7,61.3
FR,2020,Males,13.1,61.3
FR,2021,Females,13.0,59.1
FR,2021,Males,12.5,59.1
FR,2022,Females,12.1,58.3
FR,2022,Males,11.9,58.3
HR,2015,Females,19.3,47.6
HR,2015,Males,20.5,47.6
HR,2016,Females,19.4,46.0
HR,2016,Males,19.5,46.0
HR,2017,Females,19.1,44.3
HR,2017,Males,16.7,44.3
HR,2018,Females,17.7,45.3
HR,2018,Males,13.6,45.3
HR,2019,Females,16.3,46.2
HR,2019,Males,12.2,46.2
HR,2020,Females,16.0,54.0
HR,2020,Males,13.3,54.0
HR,2021,Females,16.2,48.6
HR,2021,Males,13.8,48.6
HR,2022,Females,15.1,44.9
HR,2022,Males,11.5,44.9
HU,2015,Females,15.3,50.4
HU,2015,Males,11.1,50.4
HU,2016,Females,14.5,46.8
HU,2016,Males,9.6,46.8
HU,2017,Females,14.7,46.7
